date,open,high,low,close,volume,adjclose,sma_10,sma_20,ema_10,ema_20,ticker
2018-01-31,63.900001525878906,66.5199966430664,62.43999862670898,65.0999984741211,65504500,65.0999984741211,,,,,TMUS
2018-02-28,64.69999694824219,65.11000061035156,57.060001373291016,60.61000061035156,90428400,60.61000061035156,,,,,TMUS
2018-03-31,60.77999877929688,65.77999877929688,59.72999954223633,61.040000915527344,79342000,61.040000915527344,,,,,TMUS
2018-04-30,60.400001525878906,65.68000030517578,58.90999984741211,60.5099983215332,116690100,60.5099983215332,,,,,TMUS
2018-05-31,60.77000045776367,61.18999862670898,55.09000015258789,55.70000076293945,110403700,55.70000076293945,,,,,TMUS
2018-06-30,56.0,61.15999984741211,55.900001525878906,59.75,70990700,59.75,,,,,TMUS
2018-07-31,59.459999084472656,62.09000015258789,57.88999938964844,60.0,52193400,60.0,,,,,TMUS
2018-08-31,59.95000076293945,66.63999938964844,59.13999938964844,66.04000091552734,74869500,66.04000091552734,,,,,TMUS
2018-09-30,65.73999786376953,70.87999725341797,64.06999969482422,70.18000030517578,56832800,70.18000030517578,,,,,TMUS
2018-10-31,70.70999908447266,70.94000244140625,63.47999954223633,68.55000305175781,99668700,68.55000305175781,62.74800033569336,,63.802909920432356,,TMUS
2018-11-30,68.95999908447266,70.77999877929688,66.08000183105469,68.44999694824219,68522800,68.44999694824219,63.08300018310547,,64.6478348345796,,TMUS
2018-12-31,68.5,69.0199966430664,59.959999084472656,63.61000061035156,76362500,63.61000061035156,63.383000183105466,,64.45913770290177,,TMUS
2019-01-31,62.869998931884766,70.12000274658203,62.54999923706055,69.62000274658203,81661900,69.62000274658203,64.24100036621094,,65.39747680175273,,TMUS
2019-02-28,69.45999908447266,74.05999755859375,65.55999755859375,72.20999908447266,71356500,72.20999908447266,65.41100044250489,,66.63611721679271,,TMUS
2019-03-31,72.38999938964844,74.05999755859375,68.16000366210938,69.0999984741211,64555300,69.0999984741211,66.75100021362304,,67.08409562721606,,TMUS
2019-04-30,69.54000091552734,74.7300033569336,68.69999694824219,72.98999786376953,66687800,72.98999786376953,68.075,,68.15789603386214,,TMUS
2019-05-31,73.13999938964844,80.93000030517578,72.25,73.44000244140625,96013900,73.44000244140625,69.41900024414062,,69.11827901705198,,TMUS
2019-06-30,73.62000274658203,79.26000213623047,72.7699966430664,74.13999938964844,67705200,74.13999938964844,70.22900009155273,,70.03131908479679,,TMUS
2019-07-31,74.66999816894531,85.22000122070312,73.91999816894531,79.7300033569336,179758300,79.7300033569336,71.18400039672852,,71.7947162251853,,TMUS
2019-08-31,79.98999786376953,80.30999755859375,75.2699966430664,78.05000305175781,58871900,78.05000305175781,72.13400039672851,67.44100036621094,72.93204110274394,68.45138157435827,TMUS
2019-09-30,77.9000015258789,81.1500015258789,76.7699966430664,78.7699966430664,51493800,78.7699966430664,73.16600036621094,68.1245002746582,73.99348756462075,69.43410681899714,TMUS
2019-10-31,78.87999725341797,83.8499984741211,75.81999969482422,82.66000366210938,58139100,82.66000366210938,75.07100067138671,69.2270004272461,75.56921776416414,70.69371604215068,TMUS
2019-11-30,83.08999633789062,83.19000244140625,76.33000183105469,78.55000305175781,57236000,78.55000305175781,75.9640007019043,70.10250053405761,76.1111787255448,71.44193385258946,TMUS
2019-12-31,78.58000183105469,78.83999633789062,74.30999755859375,78.41999816894531,57775600,78.41999816894531,76.58500061035156,70.99800052642823,76.53096407889035,72.10651140652811,TMUS
